trust_name,title,post_date,url,address,city,building,sale_content
무궁화신탁,경상북도 상주시 함창읍 구향리 300-10 제1동 제3층 제301호 다세대주택 매각,2023-03-30,http://mghat.com/auction/disposal/1523/show.do?page=242,경상북도 상주시 함창읍 구향리 300-10,경상북도 상주시,다세대주택,제1동 제3층 제301호 매각
무궁화신탁,경기도 안산시 단원구 고잔동 779-2 101호 외 47개호실 일괄매각 공고,2023-03-28,http://mghat.com/auction/disposal/1522/show.do?page=242,경기도 안산시 단원구 고잔동 779-2,경기도 안산시 단원구,,101호 외 47개호실 일괄매각 공고
무궁화신탁,전라남도 여수시 돌산읍 평사리 1396-2 외 숙박시설 관련 토지 및 건물 일괄매각 공고,2023-03-24,http://mghat.com/auction/disposal/1521/show.do?page=242,전라남도 여수시 돌산읍 평사리 1396-2,전라남도 여수시,숙박시설,관련 토지 및 건물 일괄매각 공고
무궁화신탁,경상남도 사천시 사남면 사천대로 1589-39 106호 외 4개 호실 일괄 매각공고,2023-03-24,http://mghat.com/auction/disposal/1520/show.do?page=242,경상남도 사천시 사남면 사천대로 1589-39,경상남도 사천시,,106호 외 4개 호실 일괄 매각공고
무궁화신탁,제주특별자치도 제주시 연동 251-22 더블루시티 1513호 매각 공고,2023-03-23,http://mghat.com/auction/disposal/1519/show.do?page=242,제주특별자치도 제주시 연동 251-22,제주특별자치도 제주시,더블루시티,1513호 매각 공고
무궁화신탁,서울특별시 서초구 방배동 452-1번지 외 1필지 및 건물 일괄매각 공고,2023-03-20,http://mghat.com/auction/disposal/1518/show.do?page=242,서울특별시 서초구 방배동 452-1번지,서울특별시 서초구,,필지 및 건물 일괄매각 공고
무궁화신탁,경기도 가평군 가평읍 신용길 3 판매시설 등 매각공고,2023-03-17,http://mghat.com/auction/disposal/1517/show.do?page=242,경기도 가평군 가평읍 신용길 3,경기도 가평군,판매시설,등 매각공고
무궁화신탁,"충청북도 청주시 서원구 사직동 6-90, 6-170 304호 외 6호실 매각 공고",2023-03-17,http://mghat.com/auction/disposal/1516/show.do?page=242,"충청북도 청주시 서원구 사직동 6-90, 6-170",충청북도 청주시 서원구,,304호 외 6호실 매각 공고
무궁화신탁,"충청북도 청주시 서원구 사직동 6-90, 6-170 9층-901호 매각 공고",2023-03-17,http://mghat.com/auction/disposal/1515/show.do?page=242,"충청북도 청주시 서원구 사직동 6-90, 6-170",충청북도 청주시 서원구,,9층-901호 매각 공고
무궁화신탁,대구광역시 수성구 상동 555 수성동일하이빌레이크시티 제106동 302호 매각 공고,2023-03-17,http://mghat.com/auction/disposal/1514/show.do?page=242,대구광역시 수성구 상동 555,대구광역시 수성구,수성동일하이빌레이크시티,제106동 302호 매각 공고
무궁화신탁,경기도 의정부시 신곡동 764-3 디유아르떼오피스텔 주건축물제 1동 206호 외4호실(개별매각) 공고,2023-03-31,http://mghat.com/auction/disposal/1533/show.do?page=241,경기도 의정부시 신곡동 764-3,경기도 의정부시,디유아르떼오피스텔,주건축물제 1동 206호 외4호실(개별매각) 공고
무궁화신탁,경기도 안양시 동안구 관양동 1019-5 123호 근린생활시설 매각공고,2023-03-31,http://mghat.com/auction/disposal/1532/show.do?page=241,경기도 안양시 동안구 관양동 1019-5,경기도 안양시 동안구,근린생활시설,123호 매각공고
무궁화신탁,경상북도 경주시 현곡면 오류리 60-20 외 3 토지 및 건물 일괄매각,2023-03-31,http://mghat.com/auction/disposal/1531/show.do?page=241,경상북도 경주시 현곡면 오류리 60-20,경상북도 경주시,,토지 및 건물 일괄매각
무궁화신탁,대구광역시 달성군 구지면 내리 845-17 한림빌딩 주건축물제1동 제1층 제101호 외 15호실 개별매각,2023-03-31,http://mghat.com/auction/disposal/1530/show.do?page=241,대구광역시 달성군 구지면 내리 845-17,대구광역시 달성군,한림빌딩,주건축물제1동 제1층 제101호 외 15호실 개별매각
무궁화신탁,"서울특별시 강북구 삼양로69길 37 501호, 601호 개별매각 공고",2023-03-31,http://mghat.com/auction/disposal/1529/show.do?page=241,서울특별시 강북구 삼양로69길 37,서울특별시 강북구,,"501호,601호 개별매각 공고"
무궁화신탁,경기도 평택시 이충동 611-1 중앙프라자 203호 외 근생시설 매각,2023-03-31,http://mghat.com/auction/disposal/1528/show.do?page=241,경기도 평택시 이충동 611-1,경기도 평택시,중앙프라자,203호 외 근생시설 매각
무궁화신탁,충청남도 아산시 둔포면 송용리 436번지 외 5필지 일괄매각 공고,2023-03-31,http://mghat.com/auction/disposal/1527/show.do?page=241,충청남도 아산시 둔포면 송용리 436번지,충청남도 아산시,,필지 일괄매각 공고
무궁화신탁,경기도 파주시 탄현면 금승리 226-3 제스트빌 제1동 101호 외17호 (일괄매각),2023-03-31,http://mghat.com/auction/disposal/1526/show.do?page=241,경기도 파주시 탄현면 금승리 226-3,경기도 파주시,제스트빌,제1동 101호 외17호 (일괄매각)
무궁화신탁,경상북도 문경시 모전동 61-21 대원퀸즈힐프리미엄 701호 외 1호실 개별매각,2023-03-30,http://mghat.com/auction/disposal/1525/show.do?page=241,경상북도 문경시 모전동 61-21,경상북도 문경시,대원퀸즈힐프리미엄,701호 외 1호실 개별매각
무궁화신탁,인천광역시 서구 청라동 165-12 지젤엠청라 제1층 제073호 업무시설 매각,2023-03-30,http://mghat.com/auction/disposal/1524/show.do?page=241,인천광역시 서구 청라동 165-12,인천광역시 서구,지젤엠청라,제1층 제073호 업무시설 매각
무궁화신탁,울산광역시 울주군 언양읍 반천리 1104-18번지 토지 및 건물 일괄매각,2023-04-13,http://mghat.com/auction/disposal/1543/show.do?page=240,울산광역시 울주군 언양읍 반천리 1104-18번지,울산광역시 울주군,,토지 및 건물 일괄매각
무궁화신탁,"경기도 평택시 포승읍 만호리 573-11, 573-12 토지 일괄매각",2023-04-13,http://mghat.com/auction/disposal/1542/show.do?page=240,"경기도 평택시 포승읍 만호리 573-11, 573-12",경기도 평택시,,토지 일괄매각
무궁화신탁,제주특별자치도 제주시 조천읍 교래리 608-9 외 1필지 40개 호실 일괄매각,2023-04-13,http://mghat.com/auction/disposal/1541/show.do?page=240,제주특별자치도 제주시 조천읍 교래리 608-9,제주특별자치도 제주시,40개,필지 호실 일괄매각
무궁화신탁,경상남도 진주시 초전동 1457-3 초전에비뉴테라스하우스 제102동 제202호 매각공고,2023-04-10,http://mghat.com/auction/disposal/1540/show.do?page=240,경상남도 진주시 초전동 1457-3,경상남도 진주시,초전에비뉴테라스하우스,제102동 제202호 매각공고
무궁화신탁,강원도 평창군 대관령면 삼현동1길 14 숙박시설 1개호 매각공고,2023-04-07,http://mghat.com/auction/disposal/1539/show.do?page=240,강원도 평창군 대관령면 삼현동1,강원특별자치도 평창군,숙박시설,길 14 1개호 매각공고
무궁화신탁,경상북도 안동시 정상동 125 더힐102 제1층 제101호 외 34호실 연립주택 개별매각,2023-04-07,http://mghat.com/auction/disposal/1538/show.do?page=240,경상북도 안동시 정상동 125,경상북도 안동시,더힐102,제1층 제101호 외 34호실 연립주택 개별매각
무궁화신탁,경상북도 포항시 북구 소티재로151번길 5 근린생활시설/문화 및 집회시설 매각공고,2023-04-07,http://mghat.com/auction/disposal/1537/show.do?page=240,경상북도 포항시 북구 소티재로151번길 5,경상북도 포항시 북구,근린생활시설,문화 및 집회시설 매각공고
무궁화신탁,경기도 고양시 덕양구 내유동 702-40 제4층 제402호  매각공고,2023-04-06,http://mghat.com/auction/disposal/1536/show.do?page=240,경기도 고양시 덕양구 내유동 702-40,경기도 고양시 덕양구,,제4층 제402호 매각공고
무궁화신탁,서울특별시 강동구 암사동 475-54 단독주택 매각공고,2023-04-04,http://mghat.com/auction/disposal/1535/show.do?page=240,서울특별시 강동구 암사동 475-54,서울특별시 강동구,단독주택,매각공고
무궁화신탁,"서울특별시 용산구 문배동 10-16,10-17 대지 일괄매각 공고",2023-03-31,http://mghat.com/auction/disposal/1534/show.do?page=240,"서울특별시 용산구 문배동 10-16,10-17",서울특별시 용산구,,대지 일괄매각 공고
무궁화신탁,서울특별시 종로구 경희궁1길 33-14 업무시설 및 다세대주택 개별매각 공고,2023-04-14,http://mghat.com/auction/disposal/1553/show.do?page=239,서울특별시 종로구 경희궁1길 33-14,서울특별시 종로구,다세대주택,업무시설 및 개별매각 공고
무궁화신탁,서울특별시 금천구 금하로 23가길 8 도시형 생활주택 1개호실 매각공고,2023-04-14,http://mghat.com/auction/disposal/1552/show.do?page=239,서울특별시 금천구 금하로 23,서울특별시 금천구,생활주택,가길 8 도시형 1개호실 매각공고
